source_code,action,calories_per_100g,protein_per_100g,carbs_per_100g,fat_per_100g,nutrient_source,source_reference,notes
259,override,884,0,0,100,taco,,"TACO reports protein and carbohydrates as NA; MESA represents these non-applicable values as zero."
260,override,884,0,0,100,taco,,"TACO reports protein and carbohydrates as NA; MESA represents these non-applicable values as zero."
267,override,884,0,0,100,taco,,"TACO reports protein and carbohydrates as NA; MESA represents these non-applicable values as zero."
268,override,884,0,0,100,taco,,"TACO reports protein and carbohydrates as NA; MESA represents these non-applicable values as zero."
269,override,884,0,0,100,taco,,"TACO reports protein and carbohydrates as NA; MESA represents these non-applicable values as zero."
270,override,884,0,0,100,taco,,"TACO reports protein and carbohydrates as NA; MESA represents these non-applicable values as zero."
271,override,884,0,0,100,taco,,"TACO reports protein and carbohydrates as NA; MESA represents these non-applicable values as zero."
272,override,884,0,0,100,taco,,"TACO reports protein and carbohydrates as NA; MESA represents these non-applicable values as zero."
450,remove,,,,,taco,,"Incomplete composition and no reliable complementary source was found."
457,override,34,3.37,4.96,0.08,usda,171269,"Missing nutritional values filled using USDA FoodData Central data for generic nonfat fluid cow's milk; the USDA record is not specifically identified as UHT, so this is an approximate nutritional match."
458,override,61,3.15,4.80,3.25,usda,171265,"Missing nutritional values filled using USDA FoodData Central data for generic whole fluid cow's milk with 3.25% milkfat; the USDA record is not specifically identified as UHT, so this is an approximate nutritional match."
472,remove,,,,,taco,,"Calories exist, but all macronutrients used by MESA are absent in TACO."
516,remove,,,,,taco,,"Food with 0 kcal and no practical use for caloric equivalence."
517,remove,,,,,taco,,"Food with 0 kcal and no practical use for caloric equivalence."
591,remove,,,,,taco,,"Incomplete composition and no reliable specific source for raw green coconut was found."
